"zip","latitude","longitude","city","state","county","exp_count","TIV","AAL","CTE_1","PML_100"
"47245",39.001301,-85.619906,"Hayden","IN","Jennings",,,,,
"47246",39.20336,-85.787611,"Hope","IN","Bartholomew",88,184837529.81,1807.075168,2048.8595,
"47247",39.059349,-85.888579,"Jonesville","IN","Bartholomew",,,,,
"47249",38.897974,-86.056681,"Kurtz","IN","Jackson",,,,,
"47250",38.804552,-85.420605,"Madison","IN","Jefferson",499,266635038.98,3939.038853,4856.0069,
"47260",38.84003,-86.194693,"Medora","IN","Jackson",43,48256953.86,367.286606,797.4656,
"47261",39.292004,-85.491788,"Millhousen","IN","Decatur",,,,,
"47262",39.001301,-85.619906,"Nebraska","IN","Jennings",,,,,
"47263",39.308252,-85.329695,"New Point","IN","Decatur",,,,,
"47264",38.947371,-86.23671,"Norman","IN","Jackson",10,2565715.86,8.384555,102.7782,
"47265",39.023539,-85.622328,"North Vernon","IN","Jennings",251,382581742.85,11235.9947,7993.3192,
"47270",38.86752,-85.716186,"Paris Crossing","IN","Jennings",1,554943.88,1.768259,13.9477,
"47272",39.318,-85.463684,"Saint Paul","IN","Decatur",31,10310993.72,49.522763,207.5815,
"47273",39.064795,-85.733853,"Scipio","IN","Jennings",22,28993596.34,560.246607,537.3914,
"47274",38.944827,-86.010789,"Seymour","IN","Jackson",624,540917884.98,67154.536984,22813.2559,
"47280",39.295266,-85.949844,"Taylorsville","IN","Bartholomew",,,,,
"47281",38.814419,-86.092983,"Vallonia","IN","Jackson",20,5917775.78,30.44101,173.5768,
"47282",38.982509,-85.616595,"Vernon","IN","Jennings",5,202368,82.675849,20.2963,
"47283",39.241181,-85.564278,"Westport","IN","Decatur",37,7760492.59,51.354492,111.2468,
"47302",40.142124,-85.389874,"Muncie","IN","Delaware",316,571429030.06,4347.921815,7122.0669,
"47303",40.280332,-85.383447,"Muncie","IN","Delaware",406,200304721.81,3342.859389,5224.8527,
"47304",40.238544,-85.484122,"Muncie","IN","Delaware",560,383084101.5,1916.53253,4160.4981,
"47305",40.247979,-85.433223,"Muncie","IN","Delaware",86,241409239.31,739.605835,2188.4771,
"47306",40.202293,-85.408221,"Muncie","IN","Delaware",4,52570.3,0.213277,0.3029,
"47307",40.162093,-85.442772,"Muncie","IN","Delaware",,,,,
"47308",40.227938,-85.396685,"Muncie","IN","Delaware",,,,,
"47320",40.277967,-85.274125,"Albany","IN","Delaware",45,23549819.96,47.99851,85.0312,
"47322",39.656994,-85.167996,"Bentonville","IN","Fayette",,,,,
"47324",39.757864,-84.848442,"Boston","IN","Wayne",,,,,
"47325",39.682946,-84.995266,"Brownsville","IN","Union",11,2995237.62,8.516022,21.8286,
"47326",40.54116,-84.982803,"Bryant","IN","Jay",9,2609824.31,6.682691,9.6543,
"47327",39.848569,-85.035364,"Cambridge City","IN","Wayne",150,45661107.94,154.047015,351.8647,
"47330",39.787438,-84.986277,"Centerville","IN","Wayne",117,109832937.54,227.726295,482.9891,
"47331",39.656933,-85.168099,"Connersville","IN","Fayette",399,602287296.53,2942.905559,2901.7261,
"47334",40.143843,-85.508457,"Daleville","IN","Delaware",68,119704935.43,320.212863,1067.9181,
"47335",39.812688,-85.204359,"Dublin","IN","Wayne",,,,,
"47336",40.43525,-85.091124,"Dunkirk","IN","Jay",32,4149188.11,112.250848,76.9323,
"47337",39.803063,-85.43711,"Dunreith","IN","Henry",,,,,
"47338",40.252982,-85.338738,"Eaton","IN","Delaware",20,8008557.05,18.560135,50.3885,
"47339",39.961044,-85.102314,"Economy","IN","Wayne",9,2233842.36,7.015839,14.6149,
"47340",40.187565,-85.14558,"Farmland","IN","Randolph",46,18162367.55,44.343136,99.5747,
"47341",39.864218,-84.995365,"Fountain City","IN","Wayne",33,8609835.78,43.359453,56.5524,
"47342",40.309361,-85.432657,"Gaston","IN","Delaware",42,11619666.24,91.042465,175.3072,
"47344",39.878933,-85.464036,"Greensboro","IN","Henry",,,,,
"47345",39.893845,-85.013775,"Greens Fork","IN","Wayne",20,8079949.69,17.734956,39.2773,
"47346",39.895789,-85.05967,"Hagerstown","IN","Wayne",105,81636097.75,202.1958,455.4939,
"47348",40.472672,-85.326447,"Hartford City","IN","Blackford",70,20272891.11,2987.713671,316.5874,
"47351",39.904018,-85.520548,"Kennard","IN","Henry",,,,,
"47352",39.830372,-85.372732,"Lewisville","IN","Henry",17,5735023.32,21.709569,53.0595,
"47353",39.625149,-84.925002,"Liberty","IN","Union",265,97224866.6,302.416647,651.0207,
"47354",40.048148,-85.17051,"Losantville","IN","Randolph",37,13777824.48,41.466677,96.746,
"47355",40.055775,-84.941102,"Lynn","IN","Randolph",76,23957396.07,62.89259,117.6936,
"47356",39.941555,-85.462793,"Middletown","IN","Henry",95,123955076.52,216.463836,1106.9378,
"47357",39.764911,-85.109015,"Milton","IN","Wayne",14,4052814.11,9.940756,31.2192,
"47358",40.055419,-85.108514,"Modoc","IN","Randolph",17,5405748.76,8.914415,20.4983,
"47359",40.515895,-85.295619,"Montpelier","IN","Blackford",19,4805261,25.890278,22.5251,
"47360",40.01641,-85.293037,"Mooreland","IN","Henry",19,8661208.02,16.476889,49.236,
"47361",40.001295,-85.319923,"Mount Summit","IN","Henry",,,,,
"47362",39.92487,-85.366926,"New Castle","IN","Henry",660,242390625.06,5823.372812,3268.9903,
"47366",39.931785,-85.398625,"New Lisbon","IN","Henry",,,,,
"47367",40.079197,-85.389978,"Oakville","IN","Delaware",,,,,
"47368",40.174184,-85.173858,"Parker City","IN","Randolph",68,87936744.96,130.758698,473.8626,
"47369",40.457413,-85.133813,"Pennville","IN","Jay",11,2187292.04,17.599493,12.4987,
"47370",39.861314,-85.147437,"Pershing","IN","Wayne",,,,,
"47371",40.431634,-84.983015,"Portland","IN","Jay",182,56847787.97,2973.840164,2533.5579,
"47373",40.359568,-85.151994,"Redkey","IN","Jay",27,7652511.47,31.262503,44.4812,
"47374",39.84081,-85.010442,"Richmond","IN","Wayne",1103,520120222.91,4327.310889,5268.6732,
"47375",39.860417,-85.015983,"Richmond","IN","Wayne",,,,,
"47380",40.167082,-85.048286,"Ridgeville","IN","Randolph",41,11121307.44,44.09554,51.2023,
"47381",40.378574,-84.882263,"Salamonia","IN","Jay",3,1020680.93,2.996781,5.0763,
"47382",40.234703,-84.91848,"Saratoga","IN","Randolph",6,2284489.86,8.559024,12.7619,
"47383",40.15178,-85.265562,"Selma","IN","Delaware",46,15047627.14,102.856204,180.3228,
"47384",39.946332,-85.485528,"Shirley","IN","Henry",68,18674477.19,52.693304,199.3737,
"47385",39.91725,-85.450834,"Spiceland","IN","Henry",74,25433873.28,60.743788,249.4955,
"47386",40.011128,-85.383768,"Springport","IN","Henry",22,7568345.44,18.258622,60.2686,
"47387",39.83059,-85.284275,"Straughn","IN","Henry",10,45589553.17,92.092715,227.0414,
"47388",40.005999,-85.44341,"Sulphur Springs","IN","Henry",,,,,
"47390",40.166457,-85.006297,"Union City","IN","Randolph",141,130341115.95,619.900098,454.1348,
"47392",39.911895,-84.935057,"Webster","IN","Wayne",1,303888.16,1.167175,1.7551,
"47393",39.930541,-85.028032,"Williamsburg","IN","Wayne",23,7032324.97,21.629322,42.3213,
"47394",40.159854,-84.984682,"Winchester","IN","Randolph",342,123091105.46,582.878818,645.1861,
"47396",40.19855,-85.509272,"Yorktown","IN","Delaware",127,67771480.49,128.783092,434.8419,
"47401",39.07881,-86.435094,"Bloomington","IN","Monroe",1304,517438916.12,8165.47057,45646.9296,
"47402",39.173234,-86.501543,"Bloomington","IN","Monroe",1,0,23.284094,276.7085,
"47403",39.07884,-86.592389,"Bloomington","IN","Monroe",799,1785717913.77,12586.67899,12231.3977,
"47404",39.25007,-86.580849,"Bloomington","IN","Monroe",635,298700403.29,10156.087366,20578.8073,
"47405",39.173447,-86.515145,"Bloomington","IN","Monroe",12,25115.33,32.797381,111.5835,
"47406",39.174541,-86.518296,"Bloomington","IN","Monroe",4,52830.2,0.047431,0.4186,
"47407",39.173234,-86.501543,"Bloomington","IN","Monroe",,,,,
"47408",39.230326,-86.469187,"Bloomington","IN","Monroe",531,169918482.75,899.317047,7004.3543,
"47420",38.839482,-86.47943,"Avoca","IN","Lawrence",,,,,
"47421",38.890524,-86.525843,"Bedford","IN","Lawrence",853,478570762.4,13478.824373,26242.5352,
"47424",39.031541,-86.838359,"Bloomfield","IN","Greene",231,67277845.83,967.132093,1902.8637,
"47426",39.173234,-86.501543,"Clear Creek","IN","Monroe",,,,,
"47427",39.319527,-86.842743,"Coal City","IN","Owen",12,5877995.29,18.45783,92.1168,
"47429",39.276356,-86.62658,"Ellettsville","IN","Monroe",218,406545732.77,1553.026746,4654.7701,
"47430",38.839482,-86.47943,"Fort Ritner","IN","Lawrence",,,,,
"47431",39.319527,-86.842743,"Freedom","IN","Owen",23,10493744.61,62.693067,149.5335,
"47432",38.486914,-86.587861,"French Lick","IN","Orange",201,32831397.12,30657.881701,55788.0776,
"47433",39.346964,-86.701332,"Gosport","IN","Owen",72,23007873.36,41.10426,454.1522,
"47434",39.012984,-86.545732,"Harrodsburg","IN","Monroe",,,,,
"47435",39.196272,-86.230212,"Helmsburg","IN","Brown",,,,,
"47436",38.839482,-86.47943,"Heltonville","IN","Lawrence",22,14672036.92,52.039688,427.8811,
"47437",38.722153,-86.670987,"Huron","IN","Lawrence",,,,,
"47438",39.078835,-86.992896,"Jasonville","IN","Greene",204,52648553.31,683.548731,972.7535,
"47439",39.037144,-86.961577,"Koleen","IN","Greene",,,,,
"47441",39.04963,-87.126965,"Linton","IN","Greene",115,31548888.57,3824.081551,633.7077,
"47443",38.988255,-87.102958,"Lyons","IN","Greene",6,1235281.88,8.534203,19.3197,
"47445",39.037144,-86.961577,"Midland","IN","Greene",,,,,
"47446",38.803928,-86.50326,"Mitchell","IN","Lawrence",459,406065397.27,3161.267147,7901.7402,
"47448",39.180583,-86.226228,"Nashville","IN","Brown",200,79260627.11,195.825941,1524.4706,
"47449",39.037144,-86.961577,"Newberry","IN","Greene",8,2687759.77,23.61256,41.2275,
"47451",38.895608,-86.525522,"Oolitic","IN","Lawrence",31,36706736.82,535.401206,664.3622,
"47452",38.586595,-86.451946,"Orleans","IN","Orange",425,167208125.79,5429.677436,9652.9678,
"47453",39.037144,-86.961577,"Owensburg","IN","Greene",22,2554536.31,19.923647,140.8536,
"47454",38.513132,-86.459473,"Paoli","IN","Orange",269,144878715.81,1616.594438,3668.3715,
"47455",39.319527,-86.842743,"Patricksburg","IN","Owen",,,,,
"47456",39.442888,-86.669559,"Quincy","IN","Owen",29,8991780.38,19.870927,262.8223,
"47457",39.037144,-86.961577,"Scotland","IN","Greene",,,,,
"47458",39.173234,-86.501543,"Smithville","IN","Monroe",,,,,
"47459",39.104137,-86.73706,"Solsberry","IN","Greene",48,18154744.8,63.849577,362.4535,
"47460",39.313258,-86.756423,"Spencer","IN","Owen",153,47981822.18,897.676065,1268.4767,
"47462",38.941408,-86.584408,"Springville","IN","Lawrence",99,40801775.55,794.437866,2029.4049,
"47463",39.085896,-86.6689,"Stanford","IN","Monroe",,,,,
"47464",39.299823,-86.648201,"Stinesville","IN","Monroe",,,,,
"47465",39.037144,-86.961577,"Switz City","IN","Greene",10,4142357.5,12.479026,88.239,
"47467",38.839482,-86.47943,"Tunnelton","IN","Lawrence",,,,,
"47468",39.274735,-86.42106,"Unionville","IN","Monroe",74,35067985.32,66.460649,764.7734,
"47469",38.620834,-86.589851,"West Baden Springs","IN","Orange",116,29007309.33,34949.199767,28279.5146,
"47470",38.839482,-86.47943,"Williams","IN","Lawrence",11,6766826.46,27.131512,113.6494,
"47471",39.124289,-86.970755,"Worthington","IN","Greene",41,11968296.83,3479.502724,232.5153,
"47490",39.173234,-86.501543,"Bloomington","IN","Monroe",,,,,
"47501",38.689503,-87.121505,"Washington","IN","Daviess",416,194439380.21,18205.740346,2000.3456,
"47512",38.741286,-87.346192,"Bicknell","IN","Knox",82,144579089.83,9722.160006,816.1249,
"47513",38.326772,-86.820726,"Birdseye","IN","Dubois",28,10635884.95,84.612088,134.4913,
"47514",38.053876,-86.621994,"Branchville","IN","Perry",,,,,
"47515",38.198133,-86.682068,"Bristow","IN","Perry",10,3149271.38,27.316784,32.7447,
"47516",38.761354,-87.417076,"Bruceville","IN","Knox",22,8013230.61,107.783859,49.7036,
"47519",38.697289,-87.091762,"Cannelburg","IN","Daviess",8,2198054.31,28.849729,21.2043,
"47520",37.949544,-86.715557,"Cannelton","IN","Perry",77,41424515.41,880.064744,424.2466,
"47521",38.406745,-86.742618,"Celestine","IN","Dubois",18,8026832.52,149.03606,108.8845,
"47522",38.894879,-86.900174,"Crane","IN","Martin",17,979366.51,1151.056154,1177.3842,
"47523",38.149611,-86.946217,"Dale","IN","Spencer",179,82819763.33,1590.138501,581.9311,
"47524",38.626138,-87.511863,"Decker","IN","Knox",9,1408739.65,139.67514,151.8893,
"47525",38.020017,-86.565129,"Derby","IN","Perry",12,4696829.23,28.87162,46.7656,
"47527",38.439461,-86.777335,"Dubois","IN","Dubois",18,7901042.59,64.126462,104.6118,
"47528",38.786795,-87.38271,"Edwardsport","IN","Knox",16,6449304.48,1069039.577891,53.8018,
"47529",38.877167,-87.085001,"Elnora","IN","Daviess",9,7657815.73,18.962755,160.1005,
"47531",38.045062,-86.864745,"Evanston","IN","Spencer",15,5521923.95,61.289192,42.1903,
"47532",38.251171,-86.867492,"Ferdinand","IN","Dubois",155,77744278.46,1115.893043,804.8787,
"47535",38.862735,-87.312678,"Freelandville","IN","Knox",,,,,
"47536",37.993813,-87.016971,"Fulda","IN","Spencer",,,,,
"47537",38.080052,-87.049834,"Gentryville","IN","Spencer",21,10408115.26,112.782152,44.8542,
"47541",38.249617,-87.007734,"Holland","IN","Dubois",22,8844659.27,73.97421,58.8799,
"47542",38.298972,-86.952413,"Huntingburg","IN","Dubois",385,267287058.13,6212.443829,2010.7703,
"47545",38.413687,-87.000879,"Ireland","IN","Dubois",,,,,
"47546",38.360357,-86.929481,"Jasper","IN","Dubois",601,372422418.87,19653.648583,6133.5786,
"47547",38.364749,-86.876173,"Jasper","IN","Dubois",,,,,
"47549",38.364749,-86.876173,"Jasper","IN","Dubois",,,,,
"47550",38.042888,-86.94971,"Lamar","IN","Spencer",23,4166884.56,148.001739,37.5273,
"47551",38.127658,-86.570969,"Leopold","IN","Perry",11,4179602.77,16.10457,54.9449,
"47552",38.124192,-86.995988,"Lincoln City","IN","Spencer",10,4392020.26,55.946684,24.1758,
"47553",38.771691,-86.912985,"Loogootee","IN","Martin",116,33366576.3,541.779186,555.9082,
"47556",38.16644,-86.917205,"Mariah Hill","IN","Spencer",5,3058831.25,26.997386,26.3364,
"47557",38.590433,-87.368456,"Monroe City","IN","Knox",38,11490967.96,356.617598,90.4174,
"47558",38.697289,-87.091762,"Montgomery","IN","Daviess",41,16126135.93,231.715226,189.3714,
"47561",38.709818,-87.388134,"Oaktown","IN","Knox",32,7739889.93,8616.021709,17128.3907,
"47562",38.841866,-86.986145,"Odon","IN","Daviess",53,25759646.3,393.742766,518.4301,
"47564",38.477976,-87.128545,"Otwell","IN","Pike",31,13882788.15,389.881214,107.8125,
"47567",38.459787,-87.298174,"Petersburg","IN","Pike",141,45566554.6,2740204.74024,326.7579,
"47568",38.697289,-87.091762,"Plainville","IN","Daviess",11,3393005.95,31.270825,47.11,
"47573",38.744136,-87.321357,"Ragsdale","IN","Knox",,,,,
"47574",37.937193,-86.534002,"Rome","IN","Perry",3,2580597.77,30.95243,22.9885,
"47575",38.321125,-86.823444,"Saint Anthony","IN","Dubois",31,9702152.01,161.578258,112.2242,
"47576",38.152479,-86.64902,"Saint Croix","IN","Perry",2,2915788.15,3.94902,34.4583,
"47577",38.141725,-86.821891,"Saint Meinrad","IN","Spencer",28,12143958.24,70.983791,132.6513,
"47578",38.881471,-87.19594,"Sandborn","IN","Knox",20,8853924.19,105.673855,102.5483,
"47579",38.117579,-86.928645,"Santa Claus","IN","Spencer",157,94721974.57,1085.554006,641.4633,
"47580",38.352759,-86.912488,"Schnellville","IN","Dubois",9,3447278.18,55.921779,36.315,
"47581",38.669976,-86.788412,"Shoals","IN","Martin",33,5225618.41,315.029411,396.3256,
"47584",38.26376,-87.230482,"Spurgeon","IN","Pike",,,,,
"47585",38.271004,-87.147783,"Stendal","IN","Pike",9,4744450.28,82.206693,20.8348,
"47586",37.999711,-86.731971,"Tell City","IN","Perry",290,224482632.25,14990.886636,4305.0793,
"47588",38.033118,-86.798123,"Troy","IN","Spencer",21,7240593.39,120.70362,48.8083,
"47590",38.367402,-87.109044,"Velpen","IN","Pike",10,3472802.04,27.441226,23.0274,
"47591",38.707231,-87.417306,"Vincennes","IN","Knox",906,380421479.54,39992.886972,14915.2889,
"47596",38.791556,-87.3318,"Westphalia","IN","Knox",,,,,
"47597",38.656969,-87.329395,"Wheatland","IN","Knox",43,24980829.28,397.724393,157.6845,
"47598",38.372926,-87.211093,"Winslow","IN","Pike",80,17572342.96,482.209513,114.0625,
"47601",38.04247,-87.287145,"Boonville","IN","Warrick",458,329751926.92,23578.477453,1588.0082,
"47610",38.054569,-87.267847,"Chandler","IN","Warrick",207,97519707.76,23799.001267,864.8528,
"47611",38.031396,-86.970053,"Chrisney","IN","Spencer",40,11285997.52,120.174071,72.4701,
"47612",38.175698,-87.711423,"Cynthiana","IN","Posey",16,7154889.39,157.585348,71.547,
"47613",38.128931,-87.416104,"Elberfeld","IN","Warrick",116,45490106.49,1420.131518,304.7686,
"47614",38.130034,-87.163636,"Folsomville","IN","Warrick",,,,,
"47615",38.003542,-86.996351,"Grandview","IN","Spencer",37,22885479.82,1293.375897,98.3437,
"47616",38.190994,-87.91701,"Griffin","IN","Posey",4,3274642.8,69.800827,57.9585,
"47617",37.903557,-87.249886,"Hatfield","IN","Spencer",,,,,
"47618",37.997128,-87.574963,"Inglefield","IN","Vanderburgh",,,,,
"47619",38.162899,-87.283955,"Lynnville","IN","Warrick",49,32560406.24,439.990748,257.5893,
"47620",37.961781,-87.868228,"Mount Vernon","IN","Posey",570,6486138180.84,910317.526526,306844.6756,
"47629",38.06242,-87.245214,"Newburgh","IN","Warrick",,,,,
"47630",38.038331,-87.283581,"Newburgh","IN","Warrick",1503,807839627.84,406181.321714,400516.7218,
"47631",38.101827,-87.898765,"New Harmony","IN","Posey",48,13696526.51,780.448865,415.6742,
"47633",38.148016,-87.786303,"Poseyville","IN","Posey",59,21082281.29,1108.960479,613.0632,
"47634",37.975392,-87.136282,"Richland","IN","Spencer",50,29415301.26,3018.464683,106.6543,
"47635",37.929173,-87.033681,"Rockport","IN","Spencer",190,239894683.4,179650.308645,899.7994,
"47637",38.118439,-87.244937,"Tennyson","IN","Warrick",22,12921236.36,242.126198,67.9872,
"47638",38.069277,-87.783602,"Wadesville","IN","Posey",135,60118804.32,2696.121729,687.5352,
"47639",38.202701,-87.577358,"Haubstadt","IN","Gibson",96,82453266.21,6594.476908,1125.1175,
"47640",38.384971,-87.473674,"Hazleton","IN","Gibson",25,10637332.01,213.442966,108.6044,
"47647",38.34949,-87.651777,"Buckskin","IN","Gibson",,,,,
"47648",38.30512,-87.518339,"Fort Branch","IN","Gibson",107,183072045.44,23590.102557,4630.0475,
"47649",38.331581,-87.447826,"Francisco","IN","Gibson",28,9589938.34,126.051711,55.6293,
"47654",38.34949,-87.651777,"Mackey","IN","Gibson",,,,,
"47660",38.306265,-87.514796,"Oakland City","IN","Gibson",130,39680207.53,10587.795882,196.3127,
"47665",38.272833,-87.681174,"Owensville","IN","Gibson",56,63954698.74,48449.068322,70841.123,
"47666",38.401233,-87.583761,"Patoka","IN","Gibson",54,9422859.18,282.327201,160.0567,
"47670",38.303369,-87.534003,"Princeton","IN","Gibson",311,133151718.24,65508.530071,34286.645,
"47683",38.281095,-87.37734,"Somerville","IN","Gibson",,,,,
"47701",37.997128,-87.574963,"Evansville","IN","Vanderburgh",,,,,
"47702",37.997128,-87.574963,"Evansville","IN","Vanderburgh",,,,,
"47703",37.997128,-87.574963,"Evansville","IN","Vanderburgh",,,,,
"47704",37.997128,-87.574963,"Evansville","IN","Vanderburgh",,,,,
"47705",37.997128,-87.574963,"Evansville","IN","Vanderburgh",,,,,
"47706",37.997128,-87.574963,"Evansville","IN","Vanderburgh",,,,,
"47708",37.976692,-87.564842,"Evansville","IN","Vanderburgh",153,84462254.98,33039.167129,2561.1061,
"47710",38.029714,-87.569024,"Evansville","IN","Vanderburgh",766,242060893.82,30003.126297,2001.5776,
"47711",38.061732,-87.554802,"Evansville","IN","Vanderburgh",1269,488151951.99,55202.876061,2456.724,
"47712",37.984112,-87.580057,"Evansville","IN","Vanderburgh",1044,366585595.99,39521.774274,2128.9983,
"47713",37.95219,-87.547564,"Evansville","IN","Vanderburgh",309,176552287.2,8584.368166,275.1381,
"47714",37.959092,-87.519682,"Evansville","IN","Vanderburgh",1543,466371419.1,170173.554198,9187.9667,
